match_id,team,total_passes,unique_players,unique_recipients,successful_passes,pass_accuracy,avg_pass_distance,max_pass_distance,min_pass_distance,std_pass_distance,total_pass_distance,passes_first_half,passes_second_half,passes_ratio_halves,avg_passes_per_player,max_passes_per_player,std_passes_per_player,static_num_nodes,static_num_edges,static_density,static_avg_degree,static_max_degree,static_min_degree,static_std_degree,static_avg_in_degree,static_max_in_degree,static_avg_out_degree,static_max_out_degree,static_avg_clustering,static_max_clustering,static_std_clustering,static_avg_betweenness,static_max_betweenness,static_std_betweenness,static_avg_pagerank,static_max_pagerank,static_std_pagerank,static_avg_closeness,static_max_closeness,static_is_connected,static_num_components,static_avg_edge_weight,static_max_edge_weight,static_std_edge_weight,static_total_edge_weight,temporal_density_mean,temporal_density_std,temporal_density_max,temporal_density_min,temporal_density_range,temporal_density_variability,temporal_clustering_mean,temporal_clustering_std,temporal_edges_mean,temporal_edges_std,temporal_edges_max,temporal_density_first_half,temporal_density_second_half,temporal_density_change_halves,temporal_clustering_first_half,temporal_clustering_second_half,temporal_density_trend
3773386,Barcelona,850,16,16,784,0.9223529411764706,15.739749356911375,51.68558793319468,1.5811388300841898,8.327887972663758,13378.786953374669,379,471,1.2427440633245384,53.125,104,31.18519948095036,16,152,0.6333333333333333,19.0,28,3,6.442049363362563,9.5,14,9.5,14,0.17425208317739171,0.24230848640099656,0.0376395458770116,0.08722222222222223,0.26761904761904765,0.07060865951095509,0.0625,0.10891395741387519,0.028374226170566966,0.31795793863309063,0.40540540540540543,1,1,5.592105263157895,22,4.575902647735335,850,0.3092179232804233,0.06583274836874743,0.43333333333333335,0.15454545454545454,0.2787878787878788,0.05190306147752957,0.22061669879563142,0.07318993587081223,30.666666666666668,8.538606526737235,48,0.27974752520207063,0.33415441396210627,0.05440688876003563,0.21666146330079677,0.22396343652203,0.0009277354363926235
3773593,Barcelona,730,15,15,651,0.8917808219178082,16.74461633286568,65.63368037829359,2.299999999999997,10.057000197812346,12223.569922991945,392,338,0.8622448979591837,48.666666666666664,100,28.912841108275423,15,139,0.6619047619047619,18.533333333333335,26,10,4.814792022738077,9.266666666666667,13,9.266666666666667,13,0.15122944717379697,0.24197619852489527,0.04715695433802447,0.07973137973137974,0.2902014652014652,0.07320790776046779,0.06666666666666668,0.11302159974730727,0.029454044646355197,0.3591058346921647,0.5,1,1,5.251798561151079,21,4.616351178585388,730,0.2874415439632831,0.0763373605830436,0.48214285714285715,0.11538461538461539,0.3667582417582418,0.05486858820192152,0.20927496045734814,0.08162361836570557,28.91304347826087,8.093415943994975,46,0.29844385412567226,0.277356092981093,-0.021087761144579276,0.19320647044753436,0.2240044096330107,-0.0008713602839412281
3773661,Barcelona,951,15,15,885,0.9305993690851735,17.164890533224067,69.9183094761308,1.8439088914585835,9.283705185136027,16323.81089709609,527,424,0.8045540796963947,63.4,122,33.264738945959834,15,153,0.7285714285714285,20.4,27,12,4.348179695765421,10.2,14,10.2,13,0.0908738406934254,0.12781506703130324,0.025002764724230277,0.08009157509157509,0.21632653061224488,0.055500428272062106,0.06666666666666667,0.1097031531497473,0.02597828193379558,0.3575182261809681,0.4666666666666667,1,1,6.215686274509804,44,6.704735597395924,951,0.3120952718778805,0.08123421114227013,0.45454545454545453,0.14545454545454545,0.3090909090909091,0.05319297985964653,0.19607597376377417,0.0729305826618646,32.71739130434783,10.508542648675592,53,0.33862929999293634,0.2877724127724128,-0.05085688722052356,0.20735207314884632,0.18573954932745798,-0.0010962920999923772
3773565,Barcelona,826,16,16,765,0.9261501210653753,17.88954646341967,67.55634685209081,1.979898987322336,10.106292619838152,14776.765378784647,339,487,1.4365781710914454,51.625,121,30.71128999787103,16,156,0.65,19.5,30,11,5.70087712549569,9.75,15,9.75,15,0.1611456827130351,0.24642808110074116,0.05172806080927458,0.07436895528413387,0.16481928124785272,0.05385924059401988,0.0625,0.12228243286266566,0.02825562529250454,0.3606711702022696,0.4838709677419355,1,1,5.294871794871795,23,4.715247972811388,826,0.3078350996829258,0.08725766495279873,0.5222222222222223,0.16071428571428573,0.36150793650793656,0.06529519862853196,0.24617021238077416,0.061888731482772484,31.91304347826087,11.014790232443573,54,0.27013150990423723,0.34239672364672363,0.0722652137424864,0.21780687619428926,0.27216993721838517,0.0006701638547151968
3773631,Real Betis,422,15,16,349,0.8270142180094787,21.497340652292856,85.38506895236426,1.9723082923315982,14.926870312876122,9071.877755267586,198,224,1.1313131313131313,28.133333333333333,56,14.841383583300672,16,135,0.5625,16.875,25,6,5.218656436287025,8.4375,12,8.4375,13,0.20527107475391848,0.2692513619071992,0.041284245035372376,0.06676622732426304,0.2010374149659864,0.04895707569290879,0.06249999999999999,0.10708929983715476,0.026701563033228286,0.4176421864033465,0.5681159420289855,1,1,3.1259259259259258,11,2.374024960490422,422,0.21566825609378795,0.06732921736370977,0.5,0.1,0.4,0.05641677163416294,0.17844559517891348,0.12331888954258653,18.617021276595743,8.036744937796001,35,0.22893873802964715,0.20399023199023197,-0.024948506039415175,0.18662519787278917,0.17124754480830284,-0.0003100417415866083
3773477,Real Betis,415,15,15,370,0.891566265060241,20.73469280362931,84.63722585245809,3.6055512754639953,12.660252328110984,8604.897513506165,250,165,0.66,27.666666666666668,55,17.199114041412823,15,118,0.5619047619047619,15.733333333333333,23,5,5.195724738239657,7.866666666666666,12,7.866666666666666,12,0.19908579019167957,0.3013107203944345,0.05749399860399599,0.07965201465201464,0.15636446886446886,0.04074556082855768,0.06666666666666667,0.12189107812444261,0.03087022210096532,0.3962991553810582,0.5,1,1,3.516949152542373,13,2.913245760628738,415,0.21532718489240227,0.05583201330581014,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.04764630431297096,0.15354897325972944,0.10890968395024339,17.73913043478261,7.663578458044826,31,0.2396969696969697,0.1965811965811966,-0.04311577311577308,0.18590193798509191,0.12866207731714294,-0.0008968746951163236
3773497,Real Madrid,319,16,16,269,0.8432601880877743,19.617015976615995,108.8290861856333,1.486606874731856,16.116169880207252,6257.828096540503,185,134,0.7243243243243244,19.9375,46,11.304681920926981,16,123,0.5125,15.375,25,6,5.266343608235224,7.6875,13,7.6875,13,0.17488671260387686,0.27425724610421487,0.04884707017519199,0.06753472222222223,0.2172222222222222,0.06402556408063677,0.0625,0.12291866442489885,0.029870403355342346,0.43076382045813516,0.5769230769230769,1,1,2.5934959349593494,9,1.82501764497087,319,0.20832691999358666,0.05631463308318598,0.3333333333333333,0.10714285714285714,0.22619047619047616,0.043401547947002496,0.11863783438272549,0.12137987668616537,14.733333333333333,8.03797803611648,33,0.20284305641448497,0.21312530062530058,0.010282244210815611,0.15121569030906828,0.09013221044717556,1.1695613211598458e-05
3773585,Real Madrid,567,14,14,501,0.8835978835978836,18.654814329432796,87.39937070711666,0.6999999999999997,12.343005674779132,10577.279724788395,332,235,0.7078313253012049,40.5,75,18.371173070873837,14,133,0.7307692307692307,19.0,25,8,4.7207747548166585,9.5,12,9.5,13,0.1725665496366972,0.23375935913681814,0.0362181692224473,0.07442002442002442,0.22234432234432233,0.054019409896922145,0.07142857142857142,0.11520567078615347,0.029010676591504917,0.405663394689726,0.48148148148148145,1,1,4.2631578947368425,18,3.4595291453317865,567,0.254135101010101,0.06213236410936894,0.375,0.11363636363636363,0.26136363636363635,0.05642212397531546,0.23092601798548937,0.12308817640710133,23.395833333333332,7.634578624923698,38,0.28345959595959597,0.2293220668220668,-0.05413752913752917,0.2906404015390249,0.18039846267095933,-0.0009059936722225014
3773593,Villarreal,543,16,16,480,0.8839779005524862,19.43957519054148,70.2157389763862,0.8944271909999184,11.798916675154802,10555.689328464023,241,302,1.2531120331950207,33.9375,83,20.547404540071074,16,143,0.5958333333333333,17.875,27,4,5.91475908216049,8.9375,15,8.9375,13,0.17960051971023144,0.2211105858361798,0.029594377036385584,0.07099702380952382,0.36976190476190474,0.0953033505308686,0.0625,0.13454410818914456,0.030757603589150913,0.36887213439879896,0.5172413793103449,1,1,3.797202797202797,14,2.886087778493059,543,0.23025957494042593,0.06444380940714173,0.4111111111111111,0.08333333333333333,0.3277777777777778,0.0509669678147939,0.18797314789211164,0.09200461431752076,23.95744680851064,8.126600034584522,40,0.22333461992552905,0.23635353535353534,0.013018915428006289,0.20730073979341263,0.17096486701896685,5.8735045148088006e-05
3773689,Villarreal,475,16,16,403,0.848421052631579,18.492866621825407,70.17763176397449,1.9235384061671255,11.852922065887697,8784.111645367067,205,270,1.3170731707317074,29.6875,72,20.31983841799273,16,137,0.5708333333333333,17.125,25,6,5.61109392186586,8.5625,14,8.5625,14,0.20742878029227618,0.3116350434545478,0.06082939827456406,0.07075892857142858,0.16674603174603175,0.048697444947917626,0.06249999999999999,0.1213396579764476,0.027864551363049772,0.4491216440598784,0.5357142857142857,1,1,3.4671532846715327,14,2.7974208530463476,475,0.22836474867724865,0.04970353179413374,0.34444444444444444,0.13636363636363635,0.2080808080808081,0.03786650701544319,0.18066359338064844,0.1072684266257205,20.458333333333332,6.952600411520103,35,0.20625409943591766,0.24707375957375957,0.04081966013784191,0.15945052056992584,0.19861311652818298,0.0007119503530434926
