window_start,window_end,window_center,num_nodes,num_edges,density,avg_degree,avg_betweenness,avg_closeness,avg_pagerank,avg_clustering
0.0,5.0,2.5,10,33,0.36666666666666664,6.6,0.12467592592592594,0.44070129039758194,0.09999999999999999,0.23860839291317792
2.0,7.0,4.5,11,22,0.2,4.0,0.13164983164983166,0.3009172919943726,0.09090909090909093,0.10049596986711268
4.0,9.0,6.5,11,26,0.23636363636363636,4.7272727272727275,0.11616161616161617,0.33915425595859566,0.09090909090909091,0.09936955706183896
6.0,11.0,8.5,11,26,0.23636363636363636,4.7272727272727275,0.13585858585858587,0.37781385822986785,0.09090909090909093,0.1209442607634272
8.0,13.0,10.5,11,30,0.2727272727272727,5.454545454545454,0.12028619528619529,0.39708484254536885,0.09090909090909088,0.21955896279922155
10.0,15.0,12.5,11,28,0.2545454545454545,5.090909090909091,0.1265151515151515,0.39651896787423097,0.09090909090909091,0.3229837033123394
12.0,17.0,14.5,11,28,0.2545454545454545,5.090909090909091,0.1047138047138047,0.3604887792858658,0.09090909090909091,0.3525355895584158
14.0,19.0,16.5,11,36,0.32727272727272727,6.545454545454546,0.12626262626262627,0.42706885460478483,0.09090909090909091,0.23707199195297993
16.0,21.0,18.5,11,35,0.3181818181818182,6.363636363636363,0.09309764309764308,0.3830829794372544,0.09090909090909093,0.27146153722939137
18.0,23.0,20.5,10,24,0.26666666666666666,4.8,0.14340277777777777,0.3295387039431157,0.10000000000000005,0.1540861891993239
20.0,25.0,22.5,10,15,0.16666666666666666,3.0,0.10416666666666666,0.288137600456441,0.1,0.14279763149684618
22.0,27.0,24.5,11,32,0.2909090909090909,5.818181818181818,0.1272727272727273,0.45515196315152673,0.09090909090909091,0.24835563449486672
24.0,29.0,26.5,11,34,0.3090909090909091,6.181818181818182,0.1368686868686869,0.46918123432742925,0.09090909090909091,0.16218987125611928
26.0,31.0,28.5,11,32,0.2909090909090909,5.818181818181818,0.10925925925925926,0.3734613552571586,0.09090909090909091,0.19257959773091757
28.0,33.0,30.5,11,36,0.32727272727272727,6.545454545454546,0.0875841750841751,0.4520464654269523,0.09090909090909088,0.2960303135090175
30.0,35.0,32.5,11,38,0.34545454545454546,6.909090909090909,0.08296296296296296,0.4046037757262973,0.09090909090909091,0.3153456399596085
32.0,37.0,34.5,10,39,0.43333333333333335,7.8,0.10694444444444444,0.4728491232149194,0.10000000000000002,0.20292469664479906
34.0,39.0,36.5,10,37,0.4111111111111111,7.4,0.09837962962962962,0.4874947478991597,0.09999999999999999,0.3155389189495271
36.0,41.0,38.5,10,26,0.28888888888888886,5.2,0.12755291005291006,0.4190116435590254,0.1,0.29029434190913256
38.0,43.0,40.5,10,15,0.16666666666666666,3.0,0.1,0.2996852020765064,0.1,0.11619710516281201
40.0,45.0,42.5,11,17,0.15454545454545454,3.090909090909091,0.07373737373737373,0.27649307762944125,0.09090909090909093,0.22121212121212122
42.0,47.0,44.5,14,43,0.23626373626373626,6.142857142857143,0.10714285714285714,0.3469381567321325,0.07142857142857142,0.14597016563453186
