match_id,team,total_passes,unique_players,unique_recipients,successful_passes,pass_accuracy,avg_pass_distance,max_pass_distance,min_pass_distance,std_pass_distance,total_pass_distance,passes_first_half,passes_second_half,passes_ratio_halves,avg_passes_per_player,max_passes_per_player,std_passes_per_player,static_num_nodes,static_num_edges,static_density,static_avg_degree,static_max_degree,static_min_degree,static_std_degree,static_avg_in_degree,static_max_in_degree,static_avg_out_degree,static_max_out_degree,static_avg_clustering,static_max_clustering,static_std_clustering,static_avg_betweenness,static_max_betweenness,static_std_betweenness,static_avg_pagerank,static_max_pagerank,static_std_pagerank,static_avg_closeness,static_max_closeness,static_is_connected,static_num_components,static_avg_edge_weight,static_max_edge_weight,static_std_edge_weight,static_total_edge_weight,temporal_density_mean,temporal_density_std,temporal_density_max,temporal_density_min,temporal_density_range,temporal_density_variability,temporal_clustering_mean,temporal_clustering_std,temporal_edges_mean,temporal_edges_std,temporal_edges_max,temporal_density_first_half,temporal_density_second_half,temporal_density_change_halves,temporal_clustering_first_half,temporal_clustering_second_half,temporal_density_trend,resultado,goles_equipo,goles_rival,xg_equipo,xg_rival,xg_diff,contexto,rival,tipo_rival,es_barcelona
3773386,Barcelona,850,16,16,784,0.9223529411764706,15.739749356911375,51.68558793319468,1.5811388300841898,8.327887972663758,13378.786953374669,379,471,1.2427440633245384,53.125,104,31.18519948095036,16,152,0.6333333333333333,19.0,28,3,6.442049363362563,9.5,14,9.5,14,0.17425208317739171,0.24230848640099656,0.0376395458770116,0.08722222222222223,0.26761904761904765,0.07060865951095509,0.0625,0.10891395741387519,0.028374226170566966,0.31795793863309063,0.40540540540540543,1,1,5.592105263157895,22,4.575902647735335,850,0.3092179232804233,0.06583274836874743,0.43333333333333335,0.15454545454545454,0.2787878787878788,0.05190306147752957,0.22061669879563142,0.07318993587081223,30.666666666666668,8.538606526737235,48,0.27974752520207063,0.33415441396210627,0.05440688876003563,0.21666146330079677,0.22396343652203,0.0009277354363926235,empate,1,1,2.0911299490000004,1.128524181,0.9626057680000004,visitante,Deportivo Alavés,medio,True
3773386,Deportivo Alavés,210,16,15,154,0.7333333333333333,24.26189029852161,88.3955881252,1.5,19.889043005491377,5094.996962689538,118,92,0.7796610169491526,13.125,22,6.7712628068920795,16,98,0.4083333333333333,12.25,20,1,4.930770730829005,6.125,11,6.125,12,0.1845719295850642,0.31243512128781825,0.0768890774318274,0.06586628401360545,0.2901341647770219,0.07130136876390589,0.06249999999999999,0.11916554851962233,0.03423399368112908,0.41090757477692563,0.5769230769230769,1,1,2.142857142857143,7,1.3923991921155663,210,0.18099684553172926,0.060515938856277394,0.3333333333333333,0.09090909090909091,0.2424242424242424,0.052009894867037734,0.13516597083352558,0.14649880448590924,10.279069767441861,5.754193424903883,27,0.16038581301739196,0.19731391293891296,0.03692809992152099,0.10161728243212427,0.1617253491513016,0.000518918448309685,empate,1,1,1.128524181,2.0911299490000004,-0.9626057680000004,local,Barcelona,medio,False
3773565,Barcelona,826,16,16,765,0.9261501210653753,17.88954646341967,67.55634685209081,1.979898987322336,10.106292619838152,14776.765378784647,339,487,1.4365781710914454,51.625,121,30.71128999787103,16,156,0.65,19.5,30,11,5.70087712549569,9.75,15,9.75,15,0.16114568271303512,0.24642808110074113,0.05172806080927457,0.07436895528413387,0.16481928124785272,0.05385924059401988,0.0625,0.12228243286266566,0.02825562529250454,0.3606711702022696,0.4838709677419355,1,1,5.294871794871795,23,4.715247972811388,826,0.3078350996829258,0.08725766495279873,0.5222222222222223,0.16071428571428573,0.36150793650793656,0.06529519862853196,0.24617021238077413,0.0618887314827725,31.91304347826087,11.014790232443573,54,0.27013150990423723,0.34239672364672363,0.0722652137424864,0.21780687619428932,0.27216993721838517,0.0006701638547151968,victoria,4,0,1.4928263959999999,0.450979546,1.0418468499999998,visitante,Granada,medio,True
3773565,Granada,316,16,16,255,0.8069620253164557,22.718699808255547,88.31902399823042,1.8973665961010275,16.331183004328047,7179.1091394087525,191,125,0.6544502617801047,19.75,38,10.560934302102885,16,128,0.5333333333333333,16.0,23,6,4.847679857416329,8.0,12,8.0,13,0.20557850846388043,0.2816668411350376,0.0390003588034346,0.06432043650793651,0.231468253968254,0.05941445125376722,0.0625,0.10211194382608357,0.02116472226764434,0.4398528688427776,0.5555555555555556,1,1,2.46875,16,1.8495670946197114,316,0.19250131181949362,0.05770359120242104,0.39285714285714285,0.1,0.2928571428571428,0.04523641732944059,0.17682363439151533,0.13488098625145054,15.272727272727273,6.872133267393779,30,0.1951899951899952,0.19004642700294874,-0.005143568187046449,0.14324172115052647,0.20748538126372254,-0.00023712426134635177,derrota,0,4,0.450979546,1.4928263959999999,-1.0418468499999998,local,Barcelona,medio,False
3773457,Barcelona,740,16,16,688,0.9297297297297298,19.365559715588958,71.75862317519756,1.7888543819998253,10.99007374174766,14330.514189535828,416,324,0.7788461538461539,46.25,93,28.746014216467184,16,161,0.6708333333333333,20.125,29,7,5.8723398232731725,10.0625,15,10.0625,15,0.13153136915313846,0.2013038166077902,0.035158887967452285,0.06774092970521542,0.13147392290249435,0.0305523053427255,0.0625,0.11736280202576566,0.03179917209984944,0.4423658718286932,0.5357142857142857,1,1,4.596273291925466,27,4.936087018656205,740,0.2965203274985884,0.060645817767162574,0.45555555555555555,0.1893939393939394,0.26616161616161615,0.05176607343274009,0.22038384803555514,0.07789379014932568,29.391304347826086,7.237182572949428,46,0.3221238357601994,0.2730504449254449,-0.04907339083475448,0.24020850025188284,0.20221125017058814,-0.0008044599557087996,derrota,1,2,2.159081824,0.729653214,1.4294286099999998,local,Celta Vigo,medio,True
3773457,Celta Vigo,413,13,13,356,0.8619854721549637,18.68031087491284,74.74021675109057,1.4317821063276368,12.459212295269516,7714.968391339004,216,197,0.9120370370370371,31.76923076923077,53,15.006408887282381,13,109,0.6987179487179487,16.76923076923077,23,3,4.979246871594541,8.384615384615385,12,8.384615384615385,11,0.2278406642112694,0.3027552325243577,0.04241230175776227,0.08157259407259408,0.3337301587301587,0.08634063507060609,0.0769230769230769,0.12199226067288768,0.030528085697776007,0.41068177699691344,0.5714285714285714,1,1,3.7889908256880735,15,2.9524469543523484,413,0.23146527385657822,0.06615426432829115,0.4,0.1111111111111111,0.2888888888888889,0.057127625460958786,0.19948606829837365,0.1205560860047745,18.717391304347824,7.488251668011585,38,0.2600714941624032,0.20524290524290523,-0.05482858891949799,0.2584983970660874,0.14539143359463605,-0.0007896372651229259,victoria,2,1,0.729653214,2.159081824,-1.4294286099999998,visitante,Barcelona,medio,False
3773631,Barcelona,754,16,16,688,0.9124668435013262,17.68384545111534,70.14392347167359,1.9924858845171265,10.845582450011909,13333.619470140966,436,318,0.7293577981651376,47.125,90,28.478939587000074,16,159,0.6625,19.875,27,9,5.8081300777444715,9.9375,14,9.9375,14,0.13298377923871604,0.1988946755905156,0.03434853943591652,0.07137755102040816,0.19099773242630386,0.0508317196576326,0.0625,0.10177160336762131,0.02910592479307839,0.38855879738267096,0.5172413793103449,1,1,4.7421383647798745,23,4.1727083289471905,754,0.2876772382207164,0.0788078337343225,0.43333333333333335,0.12727272727272726,0.3060606060606061,0.056564053230719884,0.22215834627824363,0.07952357545546014,29.630434782608695,10.020775520337011,47,0.3191197691197691,0.26126551226551226,-0.057854256854256825,0.21421505416905803,0.2288307116499595,-0.0008747834719157581,victoria,3,2,0.9875746009999999,1.3950677189999998,-0.4074931179999999,visitante,Real Betis,medio,True
3773631,Real Betis,422,15,16,349,0.8270142180094787,21.497340652292856,85.38506895236426,1.9723082923315982,14.926870312876122,9071.877755267586,198,224,1.1313131313131313,28.133333333333333,56,14.841383583300672,16,135,0.5625,16.875,25,6,5.218656436287025,8.4375,12,8.4375,13,0.20527107475391848,0.2692513619071992,0.04128424503537237,0.06676622732426304,0.2010374149659864,0.04895707569290879,0.06249999999999999,0.10708929983715476,0.026701563033228286,0.4176421864033465,0.5681159420289855,1,1,3.1259259259259258,11,2.374024960490422,422,0.21566825609378795,0.06732921736370977,0.5,0.1,0.4,0.05641677163416294,0.17844559517891348,0.12331888954258653,18.617021276595743,8.036744937796001,35,0.22893873802964715,0.20399023199023197,-0.024948506039415175,0.18662519787278917,0.17124754480830284,-0.0003100417415866083,derrota,2,3,1.3950677189999998,0.9875746009999999,0.4074931179999999,local,Barcelona,medio,False
3773665,Barcelona,742,16,16,674,0.9083557951482479,17.482230886028276,70.10349492001093,2.4738633753706023,9.86124378706662,12971.815317432982,431,311,0.7215777262180975,46.375,87,29.229836354884597,16,140,0.5833333333333334,17.5,26,3,6.103277807866851,8.75,13,8.75,13,0.13692346397242428,0.22586052109865454,0.05155053247084693,0.07975694444444445,0.26595238095238094,0.0709355974962508,0.06250000000000001,0.1149622799186373,0.03251303948607811,0.34869846730536846,0.4411764705882353,1,1,5.3,25,4.5992235369524215,742,0.28300395256916994,0.0723995133372192,0.4523809523809524,0.15454545454545454,0.29783549783549784,0.06688472021805356,0.20804868305988825,0.08111770665579796,27.934782608695652,9.485432512631716,53,0.281267217630854,0.28459595959595957,0.003328741965105575,0.1873537398402142,0.2270190476779228,0.0002868249029211104,victoria,2,0,1.056926099,1.2082273140000002,-0.15130121500000016,visitante,Osasuna,medio,True
3773665,Osasuna,427,16,16,358,0.8384074941451991,22.578706635549523,92.36243825278758,2.126029162546935,14.263653935189533,9641.107733379646,206,221,1.0728155339805825,26.6875,49,15.146919378760378,16,133,0.5541666666666667,16.625,25,3,5.633327169621874,8.3125,13,8.3125,13,0.22890889351797816,0.30528508301379187,0.05608196974740438,0.06945684523809524,0.23709750566893423,0.05771547640825852,0.0625,0.10055082778177762,0.020980440611007428,0.37181008827769413,0.5357142857142857,1,1,3.210526315789474,10,2.0703878230972292,427,0.20927901885348685,0.06071870412998688,0.4,0.10256410256410256,0.2974358974358975,0.05070883223057136,0.16479638472205688,0.12393664138416927,19.93617021276596,6.960772868505302,37,0.2152892561983471,0.20399000999000996,-0.011299246208337138,0.19779345908377988,0.13575895928374057,-0.0004896299545351362,derrota,0,2,1.2082273140000002,1.056926099,0.15130121500000016,local,Barcelona,medio,False
3773497,Barcelona,724,16,16,666,0.919889502762431,17.318834716808837,65.6269761607222,1.910497317454279,9.803260104531635,12538.836334969597,391,333,0.8516624040920716,45.25,96,32.51153641401772,16,137,0.5708333333333333,17.125,27,2,7.025622748198198,8.5625,14,8.5625,13,0.20169082735251925,0.33525210757050383,0.06224914260783756,0.08762400793650793,0.32896825396825397,0.07948282668557966,0.0625,0.11627419171813877,0.03454126018037559,0.32870909893259725,0.4411764705882353,1,1,5.2846715328467155,34,4.721358373615514,724,0.2724778176905836,0.06942895502968995,0.41818181818181815,0.09722222222222222,0.32095959595959594,0.05466544325239977,0.22337970347946487,0.10960235837302325,27.80851063829787,9.083282058318531,46,0.27578053259871443,0.2695714285714286,-0.006209104027285861,0.22113532405885056,0.22535475736960536,-0.0004829061561832161,derrota,1,2,1.494463878,1.321765321,0.17269855699999992,visitante,Real Madrid,grande,True
