match_id,estilo_tactico,static_density,static_avg_clustering,static_avg_betweenness,static_avg_pagerank,static_avg_closeness,total_passes,pass_accuracy,resultado,goles_equipo,goles_rival,xg_equipo,xg_rival,contexto,rival
3773386,posesion_alta,0.6333333333333333,0.1742520831773917,0.0872222222222222,0.0625,0.3179579386330906,850,0.9223529411764706,empate,1,1,2.0911299490000004,1.128524181,visitante,Deportivo Alavés
3773565,posesion_alta,0.65,0.1611456827130351,0.0743689552841338,0.0625,0.3606711702022696,826,0.9261501210653752,victoria,4,0,1.492826396,0.450979546,visitante,Granada
3773457,posesion_alta,0.6708333333333333,0.1315313691531384,0.0677409297052154,0.0625,0.4423658718286932,740,0.9297297297297298,derrota,1,2,2.159081824,0.729653214,local,Celta Vigo
3773631,posesion_alta,0.6625,0.132983779238716,0.0713775510204081,0.0625,0.3885587973826709,754,0.9124668435013262,victoria,3,2,0.987574601,1.3950677189999998,visitante,Real Betis
3773665,posesion_alta,0.5833333333333334,0.1369234639724242,0.0797569444444444,0.0625,0.3486984673053684,742,0.908355795148248,victoria,2,0,1.056926099,1.2082273140000002,visitante,Osasuna
3773497,posesion_alta,0.5708333333333333,0.2016908273525192,0.0876240079365079,0.0625,0.3287090989325972,724,0.919889502762431,derrota,1,2,1.494463878,1.321765321,visitante,Real Madrid
3773660,posesion_alta,0.7197802197802198,0.203630908872195,0.08501221001221,0.0714285714285714,0.3403701236989341,698,0.9111747851002864,victoria,1,0,2.058993611,0.736227611,local,Levante UD
3773593,posesion_moderada,0.6619047619047619,0.1512294471737969,0.0797313797313797,0.0666666666666666,0.3591058346921647,730,0.8917808219178082,victoria,4,0,2.687311268,0.1825146875,local,Villarreal
3773466,equilibrado,0.6813186813186813,0.1669050610934024,0.0734475841618698,0.0714285714285714,0.3775919537889622,587,0.858603066439523,victoria,3,0,0.739652598,0.4661918886,visitante,Celta Vigo
3773585,equilibrado,0.5523809523809524,0.1172085091974957,0.0868192918192918,0.0666666666666666,0.3785318415795958,603,0.9071310116086236,derrota,1,3,1.2488722015,2.900067952,local,Real Madrid
3773552,posesion_alta,0.6648351648351648,0.1003155168585944,0.0699786324786324,0.0714285714285714,0.3212068934445026,831,0.9133574007220217,victoria,1,0,2.508760701,0.387724143,visitante,Huesca
3773672,posesion_moderada,0.6761904761904762,0.1343791406994392,0.0712445491016919,0.0666666666666666,0.4466374408062568,655,0.9068702290076336,empate,1,1,1.6534482454,0.688010283,local,Sevilla
3773587,equilibrado,0.6291666666666667,0.1630743658164718,0.065073578042328,0.0625,0.4590209166285832,642,0.8862928348909658,derrota,0,1,0.7843558220000001,1.652100625,visitante,Getafe
3773656,equilibrado,0.6047619047619047,0.1550566491604776,0.0879181929181929,0.0666666666666666,0.3533752832919872,633,0.9036334913112164,derrota,0,1,0.954291622,0.562930227,visitante,Atlético Madrid
3773377,posesion_moderada,0.6619047619047619,0.164463179063778,0.0711364032792604,0.0666666666666666,0.3554485206897498,740,0.9013513513513514,empate,2,2,2.893558679,1.637535147,local,Valencia
3773586,posesion_alta,0.7142857142857143,0.1268497689901389,0.0845543345543345,0.0714285714285714,0.3577737701143325,898,0.9153674832962138,derrota,1,2,1.233171613,0.535677516,local,Granada
3773372,posesion_alta,0.7047619047619048,0.1639252781016655,0.0682326007326007,0.0666666666666666,0.4071198988711079,622,0.9180064308681672,empate,0,0,0.8648851659999999,0.55558012,local,Atlético Madrid
3773387,equilibrado,0.65,0.1219104665465247,0.0694370039682539,0.0625,0.431370821432642,650,0.8876923076923077,empate,3,3,2.813838268,1.017280621,visitante,Levante UD
3773695,posesion_alta,0.8012820512820513,0.1483505660756946,0.0944125319125319,0.0769230769230769,0.3392218453396783,801,0.9051186017478152,victoria,3,2,3.0856501890000003,1.301609404,visitante,Valencia
3773369,posesion_alta,0.6291666666666667,0.1000377354533151,0.0797689909297052,0.0625,0.3506483205548816,923,0.943661971830986,victoria,4,1,0.95751025,2.101564256,local,Huesca
3773661,posesion_alta,0.7285714285714285,0.0908738406934253,0.080091575091575,0.0666666666666666,0.3575182261809681,951,0.9305993690851736,victoria,5,2,1.6198782499999995,1.502712756,local,Getafe
3773597,posesion_alta,0.625,0.1423335126037742,0.077906746031746,0.0624999999999999,0.3995771430991937,770,0.922077922077922,victoria,6,1,2.7190648429999995,0.6805954160000001,visitante,Real Sociedad
3773523,equilibrado,0.6523809523809524,0.1677226799792069,0.0668663875806732,0.0666666666666666,0.4648955212148063,517,0.8646034816247582,victoria,2,1,2.6482608960000005,1.926828342,local,Real Sociedad
3773571,posesion_alta,0.6333333333333333,0.0932108995338557,0.0874420024420024,0.0666666666666666,0.3612262359677219,708,0.9152542372881356,victoria,3,0,3.557734449,0.6726382205,visitante,Real Valladolid
3773428,posesion_alta,0.7095238095238096,0.1153869954513999,0.0836987615559044,0.0666666666666666,0.3581544687003682,900,0.89,derrota,1,2,1.528829837,2.2947186696,visitante,Cádiz
3764661,posesion_alta,0.6987179487179487,0.1618730672880049,0.0888500388500388,0.0769230769230769,0.377007487004287,663,0.9200603318250375,victoria,3,2,1.4724851283,0.841487605,visitante,Athletic Club
3773526,posesion_alta,0.6833333333333333,0.1271802978036364,0.0691170634920634,0.0625,0.314438410251707,898,0.9153674832962138,victoria,5,1,2.692579604,0.609192384,local,Deportivo Alavés
