match_id,team,total_passes,unique_players,unique_recipients,successful_passes,pass_accuracy,avg_pass_distance,max_pass_distance,min_pass_distance,std_pass_distance,total_pass_distance,passes_first_half,passes_second_half,passes_ratio_halves,avg_passes_per_player,max_passes_per_player,std_passes_per_player,static_num_nodes,static_num_edges,static_density,static_avg_degree,static_max_degree,static_min_degree,static_std_degree,static_avg_in_degree,static_max_in_degree,static_avg_out_degree,static_max_out_degree,static_avg_clustering,static_max_clustering,static_std_clustering,static_avg_betweenness,static_max_betweenness,static_std_betweenness,static_avg_pagerank,static_max_pagerank,static_std_pagerank,static_avg_closeness,static_max_closeness,static_is_connected,static_num_components,static_avg_edge_weight,static_max_edge_weight,static_std_edge_weight,static_total_edge_weight,temporal_density_mean,temporal_density_std,temporal_density_max,temporal_density_min,temporal_density_range,temporal_density_variability,temporal_clustering_mean,temporal_clustering_std,temporal_edges_mean,temporal_edges_std,temporal_edges_max,temporal_density_first_half,temporal_density_second_half,temporal_density_change_halves,temporal_clustering_first_half,temporal_clustering_second_half,temporal_density_trend,resultado,xg_team,xg_rival,xg_diff
3773386,Barcelona,850,16,16,784,0.9223529411764706,15.739749356911375,51.68558793319468,1.5811388300841898,8.327887972663758,13378.786953374669,379,471,1.2427440633245384,53.125,104,31.18519948095036,16,152,0.6333333333333333,19.0,28,3,6.442049363362563,9.5,14,9.5,14,0.17425208317739171,0.24230848640099656,0.037639545877011585,0.08722222222222223,0.26761904761904765,0.07060865951095509,0.0625,0.10891395741387519,0.028374226170566966,0.31795793863309063,0.40540540540540543,1,1,5.592105263157895,22,4.575902647735335,850,0.3092179232804233,0.06583274836874743,0.43333333333333335,0.15454545454545454,0.2787878787878788,0.05190306147752957,0.22061669879563142,0.07318993587081224,30.666666666666668,8.538606526737235,48,0.27974752520207063,0.33415441396210627,0.05440688876003563,0.21666146330079677,0.22396343652203,0.0009277354363926235,empate,2.0911299490000004,1.128524181,0.9626057680000004
3773631,Barcelona,754,16,16,688,0.9124668435013262,17.68384545111534,70.14392347167359,1.9924858845171265,10.845582450011909,13333.619470140966,436,318,0.7293577981651376,47.125,90,28.478939587000074,16,159,0.6625,19.875,27,9,5.8081300777444715,9.9375,14,9.9375,14,0.13298377923871604,0.19889467559051557,0.03434853943591652,0.07137755102040816,0.19099773242630386,0.0508317196576326,0.0625,0.10177160336762131,0.02910592479307839,0.38855879738267096,0.5172413793103449,1,1,4.7421383647798745,23,4.1727083289471905,754,0.2876772382207164,0.0788078337343225,0.43333333333333335,0.12727272727272726,0.3060606060606061,0.056564053230719884,0.22215834627824363,0.07952357545546014,29.630434782608695,10.020775520337011,47,0.3191197691197691,0.26126551226551226,-0.057854256854256825,0.21421505416905803,0.2288307116499595,-0.0008747834719157581,victoria,0.9875746009999999,1.3950677189999998,-0.4074931179999999
3773593,Barcelona,730,15,15,651,0.8917808219178082,16.74461633286568,65.63368037829359,2.299999999999997,10.057000197812346,12223.569922991945,392,338,0.8622448979591837,48.666666666666664,100,28.912841108275423,15,139,0.6619047619047619,18.533333333333335,26,10,4.814792022738077,9.266666666666667,13,9.266666666666667,13,0.15122944717379697,0.24197619852489527,0.04715695433802448,0.07973137973137974,0.2902014652014652,0.07320790776046779,0.06666666666666668,0.11302159974730727,0.029454044646355197,0.3591058346921647,0.5,1,1,5.251798561151079,21,4.616351178585388,730,0.2874415439632831,0.0763373605830436,0.48214285714285715,0.11538461538461539,0.3667582417582418,0.05486858820192152,0.20927496045734814,0.08162361836570557,28.91304347826087,8.093415943994975,46,0.29844385412567226,0.277356092981093,-0.021087761144579276,0.19320647044753436,0.2240044096330107,-0.0008713602839412281,victoria,2.6873112679999998,0.1825146875,2.5047965805
3773565,Barcelona,826,16,16,765,0.9261501210653753,17.88954646341967,67.55634685209081,1.979898987322336,10.106292619838152,14776.765378784647,339,487,1.4365781710914454,51.625,121,30.71128999787103,16,156,0.65,19.5,30,11,5.70087712549569,9.75,15,9.75,15,0.16114568271303512,0.24642808110074113,0.05172806080927456,0.07436895528413387,0.16481928124785272,0.05385924059401988,0.0625,0.12228243286266566,0.02825562529250454,0.3606711702022696,0.4838709677419355,1,1,5.294871794871795,23,4.715247972811388,826,0.3078350996829258,0.08725766495279873,0.5222222222222223,0.16071428571428573,0.36150793650793656,0.06529519862853196,0.24617021238077413,0.0618887314827725,31.91304347826087,11.014790232443573,54,0.27013150990423723,0.34239672364672363,0.0722652137424864,0.21780687619428926,0.27216993721838517,0.0006701638547151968,victoria,1.4928263959999999,0.450979546,1.0418468499999998
3773585,Barcelona,603,15,15,547,0.9071310116086235,17.006661866662117,63.036021448057774,1.0999999999999943,10.03889790647014,10255.017105597257,290,313,1.0793103448275863,40.2,83,28.653596134317446,15,116,0.5523809523809524,15.466666666666667,25,2,6.3756481152027895,7.733333333333333,13,7.733333333333333,12,0.11720850919749573,0.21613212413106467,0.04789118592752105,0.08681929181929181,0.17326007326007328,0.0576833575113307,0.06666666666666667,0.13141375591256124,0.03875849790873779,0.37853184157959585,0.4375,1,1,5.198275862068965,27,4.927438705835131,603,0.2628058702526788,0.06676330151194149,0.5,0.12727272727272726,0.37272727272727274,0.06398299767864986,0.19697964761156664,0.07497828166438221,23.574468085106382,7.90086588774504,40,0.25361952861952863,0.2702256077256077,0.016606079106079086,0.17922808717216349,0.21131744642800776,8.383649832539553e-05,derrota,1.2488722015,2.9000679519999997,-1.6511957504999997
3773597,Real Sociedad,344,16,16,282,0.8197674418604651,19.71354937311831,89.58934088383506,2.1260291625469274,14.555838404942856,6781.460984352698,158,186,1.1772151898734178,21.5,48,14.71507163874282,16,118,0.49166666666666664,14.75,24,5,5.494315243958978,7.375,11,7.375,13,0.1326644729480243,0.19558997000749076,0.04785063120157339,0.07291702097505669,0.17270975056689344,0.04076589076744081,0.06249999999999999,0.12069347500456254,0.03317391062222634,0.4360029562284914,0.5555555555555556,1,1,2.9152542372881354,13,2.402598421012454,344,0.20139409972743302,0.05806098336742098,0.32142857142857145,0.1111111111111111,0.21031746031746035,0.04593827889282434,0.16517201212237953,0.10828869936090564,17.08888888888889,7.031818018582722,34,0.21448155019583595,0.18994258056758054,-0.024538969628255414,0.1708216327668534,0.16022859405846496,-0.0009799957033158628,derrota,0.6805954160000001,2.7190648429999995,-2.0384694269999994
3773523,Real Sociedad,464,15,15,392,0.8448275862068966,20.95515574134736,70.12082429635294,1.216552506059646,13.527378190256146,9723.192263985176,198,266,1.3434343434343434,30.933333333333334,61,16.709563842587986,15,148,0.7047619047619048,19.733333333333334,26,11,4.404038550643666,9.866666666666667,14,9.866666666666667,14,0.20056579403534996,0.28833729068242014,0.04338721925522405,0.06395517181231467,0.19358974358974362,0.05085447675320389,0.06666666666666667,0.11663938228939832,0.026434032817204346,0.491371287503938,0.6666666666666666,1,1,3.135135135135135,12,2.462279345714675,464,0.2213318596297319,0.054000926388908674,0.38181818181818183,0.1111111111111111,0.27070707070707073,0.042973210364514715,0.1700216153054791,0.11657622341761867,20.74468085106383,8.119938115812543,42,0.2086055358782631,0.23253102453102453,0.023925488652761423,0.15870194080633485,0.17998292886472606,-7.942514880534812e-06,derrota,1.9268283419999999,2.6482608960000005,-0.7214325540000006
3773631,Real Betis,422,15,16,349,0.8270142180094787,21.497340652292856,85.38506895236426,1.9723082923315982,14.926870312876122,9071.877755267586,198,224,1.1313131313131313,28.133333333333333,56,14.841383583300672,16,135,0.5625,16.875,25,6,5.218656436287025,8.4375,12,8.4375,13,0.20527107475391848,0.2692513619071992,0.04128424503537238,0.06676622732426304,0.2010374149659864,0.04895707569290879,0.06249999999999999,0.10708929983715476,0.026701563033228286,0.4176421864033465,0.5681159420289855,1,1,3.1259259259259258,11,2.374024960490422,422,0.21566825609378795,0.06732921736370977,0.5,0.1,0.4,0.05641677163416294,0.17844559517891348,0.12331888954258653,18.617021276595743,8.036744937796001,35,0.22893873802964715,0.20399023199023197,-0.024948506039415175,0.18662519787278917,0.17124754480830284,-0.0003100417415866083,derrota,1.3950677189999998,0.9875746009999999,0.4074931179999999
3773477,Real Betis,415,15,15,370,0.891566265060241,20.73469280362931,84.63722585245809,3.6055512754639953,12.660252328110984,8604.897513506165,250,165,0.66,27.666666666666668,55,17.199114041412823,15,118,0.5619047619047619,15.733333333333333,23,5,5.195724738239657,7.866666666666666,12,7.866666666666666,12,0.19908579019167957,0.3013107203944345,0.05749399860399599,0.07965201465201464,0.15636446886446886,0.04074556082855768,0.06666666666666667,0.12189107812444261,0.03087022210096532,0.3962991553810582,0.5,1,1,3.516949152542373,13,2.913245760628738,415,0.21532718489240227,0.05583201330581014,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.04764630431297096,0.15354897325972944,0.10890968395024339,17.73913043478261,7.663578458044826,31,0.2396969696969697,0.1965811965811966,-0.04311577311577308,0.18590193798509191,0.12866207731714294,-0.0008968746951163236,derrota,1.005236781,4.186569146,-3.1813323650000003
3773497,Real Madrid,319,16,16,269,0.8432601880877743,19.617015976615995,108.8290861856333,1.486606874731856,16.116169880207252,6257.828096540503,185,134,0.7243243243243244,19.9375,46,11.304681920926981,16,123,0.5125,15.375,25,6,5.266343608235224,7.6875,13,7.6875,13,0.17488671260387686,0.27425724610421487,0.04884707017519199,0.06753472222222223,0.2172222222222222,0.06402556408063677,0.0625,0.12291866442489885,0.029870403355342346,0.43076382045813516,0.5769230769230769,1,1,2.5934959349593494,9,1.82501764497087,319,0.20832691999358666,0.05631463308318598,0.3333333333333333,0.10714285714285714,0.22619047619047616,0.043401547947002496,0.11863783438272549,0.12137987668616537,14.733333333333333,8.03797803611648,33,0.20284305641448497,0.21312530062530058,0.010282244210815611,0.15121569030906828,0.09013221044717556,1.1695613211598458e-05,victoria,1.321765321,1.494463878,-0.17269855699999992
